"stateBirths","Date","dayAvg","state_id"
5501,"0401",177,8
5222,"0402",180,8
5787,"0403",187,8
5636,"0404",188,8
5788,"0405",187,8
5818,"0406",194,8
6101,"0407",197,8
5718,"0408",184,8
5927,"0409",198,8
5723,"0410",185,8
5542,"0411",185,8
5740,"0412",185,8
5478,"0501",177,8
5285,"0502",189,8
6087,"0503",196,8
5684,"0504",189,8
5844,"0505",189,8
5922,"0506",197,8
5956,"0507",192,8
5986,"0508",193,8
5993,"0509",200,8
5607,"0510",181,8
5460,"0511",182,8
5642,"0512",182,8
5452,"0601",176,8
5266,"0602",188,8
5951,"0603",192,8
5779,"0604",193,8
6222,"0605",201,8
6253,"0606",208,8
6120,"0607",197,8
6359,"0608",205,8
6100,"0609",203,8
5860,"0610",189,8
5640,"0611",188,8
5749,"0612",185,8
3413,"0301",110,9
3141,"0302",112,9
3569,"0303",115,9
3634,"0304",121,9
3817,"0305",123,9
3649,"0306",122,9
3754,"0307",121,9
3778,"0308",122,9
3780,"0309",126,9
3658,"0310",118,9
3253,"0311",108,9
3427,"0312",111,9
3400,"0401",110,9
3211,"0402",111,9
3542,"0403",114,9
3526,"0404",118,9
3599,"0405",116,9
3719,"0406",124,9
3713,"0407",120,9
3648,"0408",118,9
3584,"0409",119,9
3522,"0410",114,9
3308,"0411",110,9
3323,"0412",107,9
3214,"0501",104,9
3120,"0502",111,9
3637,"0503",117,9
3540,"0504",118,9
3578,"0505",115,9
3678,"0506",123,9
3597,"0507",116,9
3681,"0508",119,9
3609,"0509",120,9
3378,"0510",109,9
3211,"0511",107,9
3475,"0512",112,9
3287,"0601",106,9
3189,"0602",114,9
3497,"0603",113,9
3342,"0604",111,9
3578,"0605",115,9
3635,"0606",121,9
3562,"0607",115,9
3736,"0608",121,9
3633,"0609",121,9
3517,"0610",113,9
3433,"0611",114,9
3411,"0612",110,9
973,"0301",31,10
855,"0302",31,10
923,"0303",30,10
929,"0304",31,10
982,"0305",32,10
961,"0306",32,10
1004,"0307",32,10
940,"0308",30,10
974,"0309",32,10
953,"0310",31,10
909,"0311",30,10
926,"0312",30,10
901,"0401",29,10
933,"0402",32,10
983,"0403",32,10
917,"0404",31,10
938,"0405",30,10
911,"0406",30,10
1015,"0407",33,10
958,"0408",31,10
986,"0409",33,10
979,"0410",32,10
900,"0411",30,10
948,"0412",31,10
941,"0501",30,10
890,"0502",32,10
957,"0503",31,10
928,"0504",31,10
955,"0505",31,10
1009,"0506",34,10
992,"0507",32,10
1070,"0508",35,10
1038,"0509",35,10
950,"0510",31,10
950,"0511",32,10
963,"0512",31,10
938,"0601",30,10
941,"0602",34,10
1038,"0603",33,10
909,"0604",30,10
993,"0605",32,10
1082,"0606",36,10
1028,"0607",33,10
1085,"0608",35,10
1024,"0609",34,10
1018,"0610",33,10
962,"0611",32,10
971,"0612",31,10
629,"0301",20,11
573,"0302",20,11
609,"0303",20,11
590,"0304",20,11
622,"0305",20,11
682,"0306",23,11
668,"0307",22,11
672,"0308",22,11
665,"0309",22,11
650,"0310",21,11
611,"0311",20,11
648,"0312",21,11
639,"0401",21,11
613,"0402",21,11
684,"0403",22,11
602,"0404",20,11
648,"0405",21,11
682,"0406",23,11
694,"0407",22,11
639,"0408",21,11
665,"0409",22,11
680,"0410",22,11
687,"0411",23,11
700,"0412",23,11
686,"0501",22,11
624,"0502",22,11
657,"0503",21,11
614,"0504",20,11
626,"0505",20,11
642,"0506",21,11
689,"0507",22,11
726,"0508",23,11
711,"0509",24,11
651,"0510",21,11
649,"0511",22,11
696,"0512",22,11
701,"0601",23,11
641,"0602",23,11
713,"0603",23,11
660,"0604",22,11
681,"0605",22,11
679,"0606",23,11
684,"0607",22,11
784,"0608",25,11
765,"0609",26,11
781,"0610",25,11
705,"0611",24,11
729,"0612",24,11
17516,"0301",565,12
16128,"0302",576,12
17053,"0303",550,12
16717,"0304",557,12
17346,"0305",560,12
16654,"0306",555,12
17899,"0307",577,12
18674,"0308",602,12
19237,"0309",641,12
19189,"0310",619,12
17202,"0311",573,12
18635,"0312",601,12
17807,"0401",574,12
16620,"0402",573,12
17646,"0403",569,12
17365,"0404",579,12
17170,"0405",554,12
17705,"0406",590,12
18600,"0407",600,12
18867,"0408",609,12
19546,"0409",652,12
18911,"0410",610,12
18388,"0411",613,12
19428,"0412",627,12
18477,"0501",596,12
16988,"0502",607,12
18519,"0503",597,12
17273,"0504",576,12
17930,"0505",578,12
18412,"0506",614,12
18967,"0507",612,12
20382,"0508",657,12
20643,"0509",688,12
19344,"0510",624,12
19589,"0511",653,12
19716,"0512",636,12
19246,"0601",621,12
17912,"0602",640,12
19511,"0603",629,12
17575,"0604",586,12
18786,"0605",606,12
19025,"0606",634,12
19720,"0607",636,12
21611,"0608",697,12
21369,"0609",712,12
20970,"0610",676,12
20189,"0611",673,12
20888,"0612",674,12
