"","number","monthYear","stateBirths","states","div"
"127","01","11-1998",4925,"Alabama","4"
"128","01","11-1999",4970,"Alabama","4"
"129","01","11-2000",5299,"Alabama","4"
"130","01","11-2001",4906,"Alabama","4"
"131","01","11-2002",4616,"Alabama","4"
"132","01","11-2003",4727,"Alabama","4"
"133","01","11-2004",5107,"Alabama","4"
"134","01","11-2005",5128,"Alabama","4"
"135","01","11-2006",5465,"Alabama","4"
"136","01","11-2007",5543,"Alabama","4"
"137","01","11-2008",4874,"Alabama","4"
"138","01","11-2009",4968,"Alabama","4"
"139","01","11-2010",5102,"Alabama","4"
"140","01","11-2011",4909,"Alabama","4"
"141","01","11-2012",4930,"Alabama","4"
"142","01","11-2013",4774,"Alabama","4"
"143","01","11-2014",4753,"Alabama","4"
"144","01","11-2015",4886,"Alabama","4"
"145","01","12-1968",2759,"Alabama","4"
"146","01","12-1969",2901,"Alabama","4"
"147","01","12-1970",3043,"Alabama","4"
"148","01","12-1971",2827,"Alabama","4"
"149","01","12-1972",2754,"Alabama","4"
"150","01","12-1973",2528,"Alabama","4"
"151","01","12-1974",2607,"Alabama","4"
"152","01","12-1975",2497,"Alabama","4"
"153","01","12-1976",5107,"Alabama","4"
"154","01","12-1977",5037,"Alabama","4"
"155","01","12-1978",5255,"Alabama","4"
"156","01","12-1979",5297,"Alabama","4"
"157","01","12-1980",5270,"Alabama","4"
"158","01","12-1981",5272,"Alabama","4"
"159","01","12-1982",5029,"Alabama","4"
"160","01","12-1983",5030,"Alabama","4"
"161","01","12-1984",5092,"Alabama","4"
"162","01","12-1985",5127,"Alabama","4"
"163","01","12-1986",5235,"Alabama","4"
"164","01","12-1987",5221,"Alabama","4"
"165","01","12-1988",5181,"Alabama","4"
"166","01","12-1989",5470,"Alabama","4"
"167","01","12-1990",5511,"Alabama","4"
"168","01","12-1991",5289,"Alabama","4"
"169","01","12-1992",5389,"Alabama","4"
"170","01","12-1993",5249,"Alabama","4"
"171","01","12-1994",5206,"Alabama","4"
"172","01","12-1995",4980,"Alabama","4"
"173","01","12-1996",5323,"Alabama","4"
"174","01","12-1997",5366,"Alabama","4"
"175","01","12-1998",5401,"Alabama","4"
"176","01","12-1999",5417,"Alabama","4"
"177","01","12-2000",5244,"Alabama","4"
"178","01","12-2001",4942,"Alabama","4"
"179","01","12-2002",5090,"Alabama","4"
"180","01","12-2003",5279,"Alabama","4"
"181","01","12-2004",5258,"Alabama","4"
"182","01","12-2005",5256,"Alabama","4"
"183","01","12-2006",5457,"Alabama","4"
"184","01","12-2007",5396,"Alabama","4"
"185","01","12-2008",5668,"Alabama","4"
"186","01","12-2009",5347,"Alabama","4"
"187","01","12-2010",5072,"Alabama","4"
"188","01","12-2011",5141,"Alabama","4"
"189","01","12-2012",4766,"Alabama","4"
"190","01","12-2013",5247,"Alabama","4"
"191","01","12-2014",5457,"Alabama","4"
"192","01","12-2015",5214,"Alabama","4"
"193","01","2-1968",2477,"Alabama","4"
"194","01","2-1969",2423,"Alabama","4"
"195","01","2-1970",2561,"Alabama","4"
"196","01","2-1971",2600,"Alabama","4"
"197","01","2-1972",2562,"Alabama","4"
"198","01","2-1973",2407,"Alabama","4"
"199","01","2-1974",2332,"Alabama","4"
"200","01","2-1975",2199,"Alabama","4"
"201","01","2-1976",4353,"Alabama","4"
"202","01","2-1977",4859,"Alabama","4"
"203","01","2-1978",4485,"Alabama","4"
"204","01","2-1979",4653,"Alabama","4"
"205","01","2-1980",5026,"Alabama","4"
"206","01","2-1981",4697,"Alabama","4"
"207","01","2-1982",4625,"Alabama","4"
"208","01","2-1983",4514,"Alabama","4"
"209","01","2-1984",4574,"Alabama","4"
"210","01","2-1985",4627,"Alabama","4"
"211","01","2-1986",4458,"Alabama","4"
"212","01","2-1987",4522,"Alabama","4"
"213","01","2-1988",4663,"Alabama","4"
"214","01","2-1989",4768,"Alabama","4"
"215","01","2-1990",4824,"Alabama","4"
"216","01","2-1991",4669,"Alabama","4"
"217","01","2-1992",4792,"Alabama","4"
"218","01","2-1993",4737,"Alabama","4"
"219","01","2-1994",4747,"Alabama","4"
"220","01","2-1995",4574,"Alabama","4"
"221","01","2-1996",4761,"Alabama","4"
"222","01","2-1997",4578,"Alabama","4"
"223","01","2-1998",4921,"Alabama","4"
"224","01","2-1999",4646,"Alabama","4"
"225","01","2-2000",4921,"Alabama","4"
"226","01","2-2001",4603,"Alabama","4"
"227","01","2-2002",4556,"Alabama","4"
"228","01","2-2003",4437,"Alabama","4"
"229","01","2-2004",4477,"Alabama","4"
"230","01","2-2005",4478,"Alabama","4"
"231","01","2-2006",4796,"Alabama","4"
"232","01","2-2007",4936,"Alabama","4"
"233","01","2-2008",5150,"Alabama","4"
"234","01","2-2009",4745,"Alabama","4"
"235","01","2-2010",4617,"Alabama","4"
"236","01","2-2011",4503,"Alabama","4"
"237","01","2-2012",4625,"Alabama","4"
"238","01","2-2013",4307,"Alabama","4"
"239","01","2-2014",4590,"Alabama","4"
"240","01","2-2015",4473,"Alabama","4"
"241","01","3-1968",2522,"Alabama","4"
"242","01","3-1969",2597,"Alabama","4"
"243","01","3-1970",2584,"Alabama","4"
"244","01","3-1971",2823,"Alabama","4"
"245","01","3-1972",2441,"Alabama","4"
"246","01","3-1973",2522,"Alabama","4"
"247","01","3-1974",2386,"Alabama","4"
"248","01","3-1975",2429,"Alabama","4"
"249","01","3-1976",4512,"Alabama","4"
"250","01","3-1977",5116,"Alabama","4"
"251","01","3-1978",4652,"Alabama","4"
"252","01","3-1979",4929,"Alabama","4"
"253","01","3-1980",5085,"Alabama","4"
"254","01","3-1981",4821,"Alabama","4"
"255","01","3-1982",4756,"Alabama","4"
"256","01","3-1983",4822,"Alabama","4"
"257","01","3-1984",4770,"Alabama","4"
"258","01","3-1985",4738,"Alabama","4"
"259","01","3-1986",4736,"Alabama","4"
"260","01","3-1987",4823,"Alabama","4"
"261","01","3-1988",4844,"Alabama","4"
"262","01","3-1989",5203,"Alabama","4"
"263","01","3-1990",5227,"Alabama","4"
"264","01","3-1991",5225,"Alabama","4"
"265","01","3-1992",5075,"Alabama","4"
"266","01","3-1993",5255,"Alabama","4"
"267","01","3-1994",5046,"Alabama","4"
"268","01","3-1995",5189,"Alabama","4"
"269","01","3-1996",4879,"Alabama","4"
"270","01","3-1997",4845,"Alabama","4"
"271","01","3-1998",5180,"Alabama","4"
"272","01","3-1999",5174,"Alabama","4"
"273","01","3-2000",5277,"Alabama","4"
"274","01","3-2001",5028,"Alabama","4"
"275","01","3-2002",4932,"Alabama","4"
"276","01","3-2003",4857,"Alabama","4"
"277","01","3-2004",4907,"Alabama","4"
"278","01","3-2005",4953,"Alabama","4"
"279","01","3-2006",5238,"Alabama","4"
"280","01","3-2007",5343,"Alabama","4"
"281","01","3-2008",5224,"Alabama","4"
"282","01","3-2009",5239,"Alabama","4"
"283","01","3-2010",5062,"Alabama","4"
"284","01","3-2011",4887,"Alabama","4"
"285","01","3-2012",4599,"Alabama","4"
"286","01","3-2013",4581,"Alabama","4"
"287","01","3-2014",4668,"Alabama","4"
"288","01","3-2015",4941,"Alabama","4"
"289","01","4-1968",2454,"Alabama","4"
"290","01","4-1969",2453,"Alabama","4"
"291","01","4-1970",2356,"Alabama","4"
"292","01","4-1971",2566,"Alabama","4"
"293","01","4-1972",2313,"Alabama","4"
"294","01","4-1973",2277,"Alabama","4"
"295","01","4-1974",2138,"Alabama","4"
"296","01","4-1975",2291,"Alabama","4"
"297","01","4-1976",4277,"Alabama","4"
"298","01","4-1977",4548,"Alabama","4"
"299","01","4-1978",4249,"Alabama","4"
"300","01","4-1979",4392,"Alabama","4"
"301","01","4-1980",4720,"Alabama","4"
"302","01","4-1981",4568,"Alabama","4"
"303","01","4-1982",4410,"Alabama","4"
"304","01","4-1983",4536,"Alabama","4"
"305","01","4-1984",4402,"Alabama","4"
"306","01","4-1985",4626,"Alabama","4"
"307","01","4-1986",4551,"Alabama","4"
"308","01","4-1987",4485,"Alabama","4"
"309","01","4-1988",4506,"Alabama","4"
"310","01","4-1989",4791,"Alabama","4"
"311","01","4-1990",5001,"Alabama","4"
"312","01","4-1991",5023,"Alabama","4"
"313","01","4-1992",4886,"Alabama","4"
"314","01","4-1993",4844,"Alabama","4"
"315","01","4-1994",4618,"Alabama","4"
"316","01","4-1995",4594,"Alabama","4"
"317","01","4-1996",4670,"Alabama","4"
"318","01","4-1997",4778,"Alabama","4"
"319","01","4-1998",4849,"Alabama","4"
"320","01","4-1999",4893,"Alabama","4"
"321","01","4-2000",4751,"Alabama","4"
"322","01","4-2001",4796,"Alabama","4"
"323","01","4-2002",4655,"Alabama","4"
"324","01","4-2003",4706,"Alabama","4"
"325","01","4-2004",4669,"Alabama","4"
"326","01","4-2005",4677,"Alabama","4"
"327","01","4-2006",4765,"Alabama","4"
"328","01","4-2007",5108,"Alabama","4"
"329","01","4-2008",5297,"Alabama","4"
"330","01","4-2009",5051,"Alabama","4"
"331","01","4-2010",4662,"Alabama","4"
"332","01","4-2011",4383,"Alabama","4"
"333","01","4-2012",4486,"Alabama","4"
"334","01","4-2013",4572,"Alabama","4"
"335","01","4-2014",4685,"Alabama","4"
"336","01","4-2015",4643,"Alabama","4"
"337","01","5-1968",2489,"Alabama","4"
"338","01","5-1969",2447,"Alabama","4"
"339","01","5-1970",2531,"Alabama","4"
"340","01","5-1971",2514,"Alabama","4"
"341","01","5-1972",2442,"Alabama","4"
"342","01","5-1973",2254,"Alabama","4"
"343","01","5-1974",2320,"Alabama","4"
"344","01","5-1975",2318,"Alabama","4"
"345","01","5-1976",4235,"Alabama","4"
"346","01","5-1977",4876,"Alabama","4"
"347","01","5-1978",4595,"Alabama","4"
"348","01","5-1979",4816,"Alabama","4"
"349","01","5-1980",4930,"Alabama","4"
"350","01","5-1981",4702,"Alabama","4"
"351","01","5-1982",4649,"Alabama","4"
"352","01","5-1983",4688,"Alabama","4"
"353","01","5-1984",4463,"Alabama","4"
"354","01","5-1985",4834,"Alabama","4"
"355","01","5-1986",4689,"Alabama","4"
"356","01","5-1987",4723,"Alabama","4"
"357","01","5-1988",4755,"Alabama","4"
"358","01","5-1989",4913,"Alabama","4"
"359","01","5-1990",5152,"Alabama","4"
"360","01","5-1991",5211,"Alabama","4"
"361","01","5-1992",5037,"Alabama","4"
"362","01","5-1993",4995,"Alabama","4"
"363","01","5-1994",4907,"Alabama","4"
"364","01","5-1995",5046,"Alabama","4"
"365","01","5-1996",4898,"Alabama","4"
"366","01","5-1997",5026,"Alabama","4"
"367","01","5-1998",4988,"Alabama","4"
"368","01","5-1999",4899,"Alabama","4"
"369","01","5-2000",5235,"Alabama","4"
"370","01","5-2001",5061,"Alabama","4"
"371","01","5-2002",4957,"Alabama","4"
"372","01","5-2003",4838,"Alabama","4"
"373","01","5-2004",4771,"Alabama","4"
"374","01","5-2005",4905,"Alabama","4"
"375","01","5-2006",5072,"Alabama","4"
"376","01","5-2007",5324,"Alabama","4"
"377","01","5-2008",5090,"Alabama","4"
"378","01","5-2009",4993,"Alabama","4"
"379","01","5-2010",4716,"Alabama","4"
"380","01","5-2011",4635,"Alabama","4"
"381","01","5-2012",4783,"Alabama","4"
"382","01","5-2013",4761,"Alabama","4"
"383","01","5-2014",4832,"Alabama","4"
"384","01","5-2015",4700,"Alabama","4"
"385","01","6-1968",2537,"Alabama","4"
"386","01","6-1969",2505,"Alabama","4"
"387","01","6-1970",2642,"Alabama","4"
"388","01","6-1971",2434,"Alabama","4"
"389","01","6-1972",2370,"Alabama","4"
"390","01","6-1973",2302,"Alabama","4"
"391","01","6-1974",2238,"Alabama","4"
"392","01","6-1975",2224,"Alabama","4"
"393","01","6-1976",4252,"Alabama","4"
"394","01","6-1977",4857,"Alabama","4"
"395","01","6-1978",4565,"Alabama","4"
"396","01","6-1979",4857,"Alabama","4"
"397","01","6-1980",4978,"Alabama","4"
"398","01","6-1981",4857,"Alabama","4"
"399","01","6-1982",4896,"Alabama","4"
"400","01","6-1983",4607,"Alabama","4"
"401","01","6-1984",4476,"Alabama","4"
"402","01","6-1985",4755,"Alabama","4"
"403","01","6-1986",4795,"Alabama","4"
"404","01","6-1987",4894,"Alabama","4"
"405","01","6-1988",4923,"Alabama","4"
"406","01","6-1989",5008,"Alabama","4"
"407","01","6-1990",5086,"Alabama","4"
"408","01","6-1991",4928,"Alabama","4"
"409","01","6-1992",5063,"Alabama","4"
"410","01","6-1993",5041,"Alabama","4"
"411","01","6-1994",4931,"Alabama","4"
"412","01","6-1995",4874,"Alabama","4"
"413","01","6-1996",4751,"Alabama","4"
"414","01","6-1997",4876,"Alabama","4"
"415","01","6-1998",5129,"Alabama","4"
"416","01","6-1999",5209,"Alabama","4"
"417","01","6-2000",5236,"Alabama","4"
"418","01","6-2001",4828,"Alabama","4"
"419","01","6-2002",4632,"Alabama","4"
"420","01","6-2003",4803,"Alabama","4"
"421","01","6-2004",4938,"Alabama","4"
"422","01","6-2005",5177,"Alabama","4"
"423","01","6-2006",5092,"Alabama","4"
"424","01","6-2007",5059,"Alabama","4"
"425","01","6-2008",5186,"Alabama","4"
"426","01","6-2009",5229,"Alabama","4"
"427","01","6-2010",4841,"Alabama","4"
"428","01","6-2011",5118,"Alabama","4"
"429","01","6-2012",4904,"Alabama","4"
"430","01","6-2013",4545,"Alabama","4"
"431","01","6-2014",4746,"Alabama","4"
"432","01","6-2015",4953,"Alabama","4"
"433","01","7-1968",2847,"Alabama","4"
"434","01","7-1969",2894,"Alabama","4"
"435","01","7-1970",2987,"Alabama","4"
"436","01","7-1971",2919,"Alabama","4"
"437","01","7-1972",2618,"Alabama","4"
"438","01","7-1973",2549,"Alabama","4"
"439","01","7-1974",2605,"Alabama","4"
"440","01","7-1975",2673,"Alabama","4"
"441","01","7-1976",4948,"Alabama","4"
"442","01","7-1977",5391,"Alabama","4"
"443","01","7-1978",5442,"Alabama","4"
"444","01","7-1979",5550,"Alabama","4"
"445","01","7-1980",5825,"Alabama","4"
"446","01","7-1981",5471,"Alabama","4"
"447","01","7-1982",5397,"Alabama","4"
"448","01","7-1983",5102,"Alabama","4"
"449","01","7-1984",5292,"Alabama","4"
"450","01","7-1985",5255,"Alabama","4"
"451","01","7-1986",5344,"Alabama","4"
"452","01","7-1987",5220,"Alabama","4"
"453","01","7-1988",5477,"Alabama","4"
"454","01","7-1989",5624,"Alabama","4"
"455","01","7-1990",5586,"Alabama","4"
"456","01","7-1991",5652,"Alabama","4"
"457","01","7-1992",5491,"Alabama","4"
"458","01","7-1993",5494,"Alabama","4"
