"","states","M","median","low","high"
"127","Georgia",7,10904,10240.25,11473.25
"128","Georgia",8,10959.5,10431.75,11834.25
"129","Georgia",9,11005.5,10220.5,11402.25
"130","Georgia",10,10683,9974,11340.25
"131","Georgia",11,10142,9683.75,10548
"132","Georgia",12,10937,10242.25,11184.75
"133","Hawaii",1,1470.5,1440.5,1531.25
"134","Hawaii",2,1304.5,1244,1421.25
"135","Hawaii",3,1444,1434.75,1468.75
"136","Hawaii",4,1422,1408.5,1448
"137","Hawaii",5,1454,1414,1523.25
"138","Hawaii",6,1396,1387.25,1428.25
"139","Hawaii",7,1493.5,1463.25,1549
"140","Hawaii",8,1494,1468.5,1517.25
"141","Hawaii",9,1546.5,1530.25,1560
"142","Hawaii",10,1533.5,1477.75,1559
"143","Hawaii",11,1475.5,1416.75,1495.25
"144","Hawaii",12,1506.5,1475.75,1526
"145","Idaho",1,1501.5,1418.75,1543.75
"146","Idaho",2,1474.5,1393,1559.75
"147","Idaho",3,1685.5,1568.5,1715.75
"148","Idaho",4,1643,1592.75,1707.75
"149","Idaho",5,1744,1649.75,1917.5
"150","Idaho",6,1710,1583.5,1730.5
"151","Idaho",7,1757,1681.5,1827.25
"152","Idaho",8,1713,1688.25,1778.5
"153","Idaho",9,1667.5,1603.25,1695.25
"154","Idaho",10,1583,1545.75,1714.5
"155","Idaho",11,1517,1440.5,1607.25
"156","Idaho",12,1568,1539.25,1612.75
"157","Illinois",1,14743.5,14622.25,15094
"158","Illinois",2,13970.5,13733.5,14112.75
"159","Illinois",3,15468,15204.25,15483.25
"160","Illinois",4,14657,14450.5,14802.5
"161","Illinois",5,15635.5,15357.25,15752
"162","Illinois",6,15327,15266.75,15503.5
"163","Illinois",7,16337.5,16290.75,16427
"164","Illinois",8,16253.5,16099.75,16535.25
"165","Illinois",9,15632,15606.75,15950.5
"166","Illinois",10,15479,15281.5,15542.75
"167","Illinois",11,14319,14185.75,14506.5
"168","Illinois",12,14963.5,14807,15024.5
"169","Indiana",1,6821,6731,6933.5
"170","Indiana",2,6508,6424.75,6616.75
"171","Indiana",3,7155,7049.25,7209
"172","Indiana",4,6846,6685.5,6981
"173","Indiana",5,7194.5,7087.75,7299.5
"174","Indiana",6,7106.5,7006.25,7278.25
"175","Indiana",7,7550.5,7495,7623
"176","Indiana",8,7541.5,7472.5,7744.5
"177","Indiana",9,7318,7259.25,7481
"178","Indiana",10,7152,7053.5,7329.5
"179","Indiana",11,6597.5,6529,6684
"180","Indiana",12,7093,6917.75,7162.75
"181","Iowa",1,2977.5,2912.5,3030
"182","Iowa",2,2859,2812.75,2906.25
"183","Iowa",3,3152,3113,3183.5
"184","Iowa",4,3064.5,3036.5,3090.5
"185","Iowa",5,3174,3119.25,3224.5
"186","Iowa",6,3148,3093,3179.5
"187","Iowa",7,3312.5,3269.25,3381.75
"188","Iowa",8,3290,3243,3313.5
"189","Iowa",9,3229.5,3133.75,3268.25
"190","Iowa",10,3161.5,3122,3210.25
"191","Iowa",11,2989,2942.5,3025.75
"192","Iowa",12,3080.5,3036.5,3117.75
"193","Kansas",1,3114.5,3045,3193
"194","Kansas",2,2948,2836,3015.5
"195","Kansas",3,3254.5,3121.25,3305
"196","Kansas",4,3112,3034.75,3141.5
"197","Kansas",5,3174,3141.5,3272.25
"198","Kansas",6,3166,3147.5,3210.5
"199","Kansas",7,3369,3322.5,3418.5
"200","Kansas",8,3366.5,3281,3423.75
"201","Kansas",9,3325.5,3257.75,3399.5
"202","Kansas",10,3265,3176.25,3349.75
"203","Kansas",11,3035,2963,3092
"204","Kansas",12,3222.5,3156.75,3265.5
"205","Kentucky",1,4397.5,4296,4477
"206","Kentucky",2,4097,4039.75,4133.5
"207","Kentucky",3,4499,4404.25,4570.75
"208","Kentucky",4,4272.5,4225.75,4290.5
"209","Kentucky",5,4560,4445.5,4601
"210","Kentucky",6,4481,4375.75,4537.5
"211","Kentucky",7,4818,4742,4846.5
"212","Kentucky",8,4868.5,4755,4938
"213","Kentucky",9,4761.5,4641.25,4783
"214","Kentucky",10,4620.5,4553.75,4643.75
"215","Kentucky",11,4227,4172.25,4271.75
"216","Kentucky",12,4555.5,4448.25,4607.75
