"","County","M","median","low","high"
"194",6019,2,1190,1100,1240
"195",6019,3,1260,1220,1340
"196",6019,4,1220,1160,1260
"197",6019,5,1280,1200,1310
"198",6019,6,1290,1210,1320
"199",6019,7,1390,1270,1440
"200",6019,8,1380,1330,1450
"201",6019,9,1380,1280,1430
"202",6019,10,1340,1230,1380
"203",6019,11,1250,1200,1340
"204",6019,12,1320,1250,1360
"205",6023,1,120,110,130
"206",6023,2,110,100,120
"207",6023,3,130,120,140
"208",6023,4,130,120,140
"209",6023,5,130,120,130
"210",6023,6,130,120,140
"211",6023,7,140,130,140
"212",6023,8,130,130,150
"213",6023,9,130,120,130
"214",6023,10,130,120,140
"215",6023,11,120,110,130
"216",6023,12,120,120,130
"217",6025,1,250,220,260
"218",6025,2,210,200,220
"219",6025,3,220,210,240
"220",6025,4,210,190,230
"221",6025,5,210,190,240
"222",6025,6,220,190,240
"223",6025,7,240,230,270
"224",6025,8,270,260,290
"225",6025,9,280,250,300
"226",6025,10,270,250,290
"227",6025,11,260,250,280
"228",6025,12,250,230,280
"229",6029,1,1120,990,1200
"230",6029,2,1030,880,1090
"231",6029,3,1110,990,1200
"232",6029,4,1060,910,1100
"233",6029,5,1060,1000,1170
"234",6029,6,1080,990,1190
"235",6029,7,1220,1060,1300
"236",6029,8,1220,1100,1300
"237",6029,9,1240,1030,1320
"238",6029,10,1160,1030,1250
"239",6029,11,1140,980,1160
"240",6029,12,1150,980,1240
"241",6031,1,190,180,210
"242",6031,2,180,160,190
"243",6031,3,190,170,220
"244",6031,4,190,180,200
"245",6031,5,190,180,210
"246",6031,6,190,180,220
"247",6031,7,210,180,240
"248",6031,8,220,200,230
"249",6031,9,210,200,230
"250",6031,10,210,180,220
"251",6031,11,200,190,220
"252",6031,12,200,180,210
"253",6037,1,12500,11290,13030
"254",6037,2,11290,10100,11730
"255",6037,3,12440,11000,13050
"256",6037,4,11900,10530,12100
"257",6037,5,12210,10720,12830
"258",6037,6,12340,10890,12590
"259",6037,7,13110,11630,13510
"260",6037,8,13490,12240,14010
"261",6037,9,13490,11810,13720
"262",6037,10,13390,11780,13580
"263",6037,11,12560,11180,12890
"264",6037,12,12660,11450,13310
"265",6041,1,210,200,220
"266",6041,2,190,180,220
"267",6041,3,220,200,240
"268",6041,4,210,200,220
"269",6041,5,230,220,250
"270",6041,6,220,200,230
"271",6041,7,240,220,250
"272",6041,8,240,220,250
"273",6041,9,220,200,240
"274",6041,10,220,210,240
"275",6041,11,200,200,220
"276",6041,12,220,200,230
"277",6047,1,330,310,360
"278",6047,2,300,300,320
"279",6047,3,340,310,360
"280",6047,4,320,300,350
"281",6047,5,360,320,370
"282",6047,6,330,310,360
"283",6047,7,360,360,390
"284",6047,8,360,350,400
"285",6047,9,380,350,390
"286",6047,10,360,340,380
"287",6047,11,340,310,350
"288",6047,12,350,320,370
"289",6053,1,560,520,590
"290",6053,2,520,490,560
"291",6053,3,590,550,610
"292",6053,4,560,540,590
"293",6053,5,590,560,600
"294",6053,6,570,540,600
"295",6053,7,600,570,630
"296",6053,8,620,580,630
"297",6053,9,600,570,620
"298",6053,10,600,560,610
"299",6053,11,550,520,570
"300",6053,12,560,540,580
"301",6055,1,120,120,130
"302",6055,2,110,100,120
"303",6055,3,120,120,130
"304",6055,4,120,120,140
"305",6055,5,130,120,140
"306",6055,6,130,120,140
"307",6055,7,130,130,140
"308",6055,8,140,130,150
"309",6055,9,140,130,150
"310",6055,10,140,120,140
"311",6055,11,130,110,140
"312",6055,12,130,120,130
"313",6059,1,3660,3270,3800
"314",6059,2,3420,2930,3530
"315",6059,3,3720,3380,3810
"316",6059,4,3540,3120,3670
"317",6059,5,3680,3210,3850
"318",6059,6,3650,3250,3810
"319",6059,7,3810,3420,3960
"320",6059,8,3900,3440,4120
"321",6059,9,3870,3500,4030
"322",6059,10,3880,3420,3970
"323",6059,11,3610,3180,3780
"324",6059,12,3670,3260,3840
"325",6061,1,280,240,300
"326",6061,2,270,230,300
"327",6061,3,300,260,320
"328",6061,4,300,250,320
"329",6061,5,310,280,330
"330",6061,6,310,250,330
"331",6061,7,320,270,340
"332",6061,8,330,280,350
"333",6061,9,320,270,340
"334",6061,10,310,250,320
"335",6061,11,290,250,300
"336",6061,12,270,230,300
"337",6065,1,2430,2000,2570
"338",6065,2,2140,1850,2320
"339",6065,3,2410,2040,2570
"340",6065,4,2260,1850,2390
"341",6065,5,2380,2050,2500
"342",6065,6,2390,2040,2510
"343",6065,7,2600,2130,2680
"344",6065,8,2650,2240,2750
"345",6065,9,2690,2170,2800
"346",6065,10,2620,2240,2730
"347",6065,11,2490,2070,2550
"348",6065,12,2530,2150,2620
"349",6067,1,1560,1480,1620
"350",6067,2,1470,1380,1550
"351",6067,3,1650,1550,1770
"352",6067,4,1580,1530,1700
"353",6067,5,1660,1620,1730
"354",6067,6,1610,1550,1710
"355",6067,7,1700,1620,1800
"356",6067,8,1780,1660,1830
"357",6067,9,1720,1580,1830
"358",6067,10,1700,1560,1790
"359",6067,11,1580,1500,1640
"360",6067,12,1610,1510,1720
"361",6071,1,2530,2410,2630
"362",6071,2,2290,2210,2370
"363",6071,3,2490,2440,2620
"364",6071,4,2420,2340,2500
"365",6071,5,2510,2450,2560
"366",6071,6,2460,2380,2560
"367",6071,7,2670,2560,2790
"368",6071,8,2780,2700,2840
"369",6071,9,2750,2590,2840
"370",6071,10,2640,2570,2810
"371",6071,11,2470,2390,2640
"372",6071,12,2580,2470,2730
"373",6073,1,3670,3580,3750
"374",6073,2,3390,3310,3450
"375",6073,3,3700,3630,3810
"376",6073,4,3550,3450,3650
"377",6073,5,3720,3660,3770
"378",6073,6,3590,3510,3670
"379",6073,7,3890,3810,3960
"380",6073,8,3960,3920,4050
"381",6073,9,3980,3920,4080
"382",6073,10,3860,3750,3940
"383",6073,11,3650,3600,3780
"384",6073,12,3740,3640,3860
"385",6075,1,700,680,740
"386",6075,2,650,640,700
"387",6075,3,720,720,730
"388",6075,4,710,670,720
"389",6075,5,720,710,740
"390",6075,6,700,660,730
"391",6075,7,740,740,770
"392",6075,8,730,710,770
"393",6075,9,750,690,780
"394",6075,10,740,710,770
"395",6075,11,710,700,730
"396",6075,12,720,710,750
"397",6077,1,820,740,880
"398",6077,2,760,710,820
"399",6077,3,830,770,900
"400",6077,4,810,740,860
"401",6077,5,840,780,900
"402",6077,6,850,800,900
"403",6077,7,900,840,950
"404",6077,8,920,880,980
"405",6077,9,900,850,950
"406",6077,10,860,840,920
"407",6077,11,830,770,870
"408",6077,12,840,790,910
"409",6079,1,200,190,220
"410",6079,2,190,180,210
"411",6079,3,220,210,220
"412",6079,4,220,210,230
"413",6079,5,220,210,230
"414",6079,6,210,210,230
"415",6079,7,220,210,240
"416",6079,8,230,220,240
"417",6079,9,230,210,240
"418",6079,10,220,210,240
"419",6079,11,200,190,220
"420",6079,12,210,200,210
"421",6081,1,790,740,810
"422",6081,2,730,690,770
"423",6081,3,830,790,850
"424",6081,4,800,750,830
"425",6081,5,850,780,870
"426",6081,6,830,770,840
"427",6081,7,860,820,880
"428",6081,8,860,840,890
"429",6081,9,850,800,880
"430",6081,10,840,800,870
"431",6081,11,800,760,820
"432",6081,12,800,780,810
"433",6083,1,490,460,510
"434",6083,2,440,430,470
"435",6083,3,500,470,540
"436",6083,4,480,470,500
"437",6083,5,490,470,510
"438",6083,6,470,450,490
"439",6083,7,510,490,540
"440",6083,8,510,500,530
"441",6083,9,500,490,510
"442",6083,10,490,470,510
"443",6083,11,470,450,490
"444",6083,12,480,470,510
"445",6085,1,2120,2000,2160
"446",6085,2,1990,1820,2060
"447",6085,3,2250,2050,2290
"448",6085,4,2130,2020,2180
"449",6085,5,2240,2010,2280
"450",6085,6,2180,2040,2240
"451",6085,7,2290,2130,2310
"452",6085,8,2300,2180,2400
"453",6085,9,2280,2110,2340
"454",6085,10,2220,2120,2340
"455",6085,11,2120,2020,2210
"456",6085,12,2170,2030,2230
"457",6087,1,280,250,290
"458",6087,2,260,240,270
"459",6087,3,290,270,300
"460",6087,4,280,260,290
"461",6087,5,300,280,310
