"","states","M","median","low","high"
"172","Indiana",4,230,223,233
"173","Indiana",5,232,228,237
"174","Indiana",6,240,234,245
"175","Indiana",7,243,240,248
"176","Indiana",8,244,241,250
"177","Indiana",9,246,243,254
"178","Indiana",10,233,228,237
"179","Indiana",11,223,220,228
"180","Indiana",12,230,225,233
"181","Iowa",1,98,97,101
"182","Iowa",2,103,101,106
"183","Iowa",3,104,103,107
"184","Iowa",4,103,102,108
"185","Iowa",5,107,102,109
"186","Iowa",6,110,105,112
"187","Iowa",7,110,107,113
"188","Iowa",8,109,107,113
"189","Iowa",9,111,109,113
"190","Iowa",10,104,102,108
"191","Iowa",11,101,100,104
"192","Iowa",12,101,100,106
"193","Kansas",1,103,101,105
"194","Kansas",2,107,105,109
"195","Kansas",3,106,103,110
"196","Kansas",4,106,104,109
"197","Kansas",5,106,102,109
"198","Kansas",6,109,106,113
"199","Kansas",7,111,109,114
"200","Kansas",8,112,110,115
"201","Kansas",9,115,112,117
"202","Kansas",10,107,105,110
"203","Kansas",11,104,103,110
"204","Kansas",12,106,105,109
"205","Kentucky",1,147,142,149
"206","Kentucky",2,147,146,153
"207","Kentucky",3,149,147,152
"208","Kentucky",4,147,142,151
"209","Kentucky",5,149,147,152
"210","Kentucky",6,153,149,160
"211","Kentucky",7,159,156,163
"212","Kentucky",8,160,157,164
"213","Kentucky",9,162,159,166
"214","Kentucky",10,151,149,157
"215","Kentucky",11,147,141,152
"216","Kentucky",12,150,147,155
"217","Louisiana",1,175,173,180
"218","Louisiana",2,173,169,176
"219","Louisiana",3,168,165,173
"220","Louisiana",4,168,163,168
"221","Louisiana",5,164,161,169
"222","Louisiana",6,171,168,180
"223","Louisiana",7,185,181,187
"224","Louisiana",8,189,183,197
"225","Louisiana",9,194,191,198
"226","Louisiana",10,185,180,186
"227","Louisiana",11,178,175,185
"228","Louisiana",12,183,181,188
"229","Maine",1,34,34,35
"230","Maine",2,37,35,37
"231","Maine",3,37,36,38
"232","Maine",4,39,36,40
"233","Maine",5,39,37,40
"234","Maine",6,39,38,40
"235","Maine",7,39,37,40
"236","Maine",8,39,37,40
"237","Maine",9,39,38,40
"238","Maine",10,36,35,37
"239","Maine",11,35,33,36
"240","Maine",12,34,33,35
"241","Maryland",1,195,189,197
"242","Maryland",2,197,195,203
"243","Maryland",3,200,195,203
"244","Maryland",4,198,193,202
"245","Maryland",5,199,196,205
"246","Maryland",6,207,202,212
"247","Maryland",7,207,205,212
"248","Maryland",8,209,207,212
"249","Maryland",9,212,209,216
"250","Maryland",10,201,198,203
"251","Maryland",11,196,190,199
"252","Maryland",12,198,193,203
"253","Massachusetts",1,202,190,205
"254","Massachusetts",2,209,195,215
"255","Massachusetts",3,212,199,217
"256","Massachusetts",4,214,207,222
"257","Massachusetts",5,219,206,231
"258","Massachusetts",6,224,215,231
"259","Massachusetts",7,224,211,233
"260","Massachusetts",8,223,210,231
"261","Massachusetts",9,219,211,231
"262","Massachusetts",10,210,203,218
"263","Massachusetts",11,205,192,208
"264","Massachusetts",12,200,191,205
"265","Michigan",1,332,298,343
"266","Michigan",2,349,312,361
"267","Michigan",3,358,319,367
"268","Michigan",4,357,319,367
"269","Michigan",5,355,324,371
"270","Michigan",6,366,327,375
"271","Michigan",7,359,336,382
"272","Michigan",8,368,333,376
"273","Michigan",9,362,326,373
"274","Michigan",10,344,310,357
"275","Michigan",11,332,303,339
"276","Michigan",12,334,303,342
"277","Minnesota",1,175,170,180
"278","Minnesota",2,183,178,190
"279","Minnesota",3,187,183,196
"280","Minnesota",4,190,187,194
"281","Minnesota",5,194,188,202
"282","Minnesota",6,197,191,202
"283","Minnesota",7,197,189,203
"284","Minnesota",8,195,192,199
"285","Minnesota",9,195,189,201
"286","Minnesota",10,186,180,192
"287","Minnesota",11,180,173,185
"288","Minnesota",12,183,172,185
"289","Mississippi",1,114,110,118
"290","Mississippi",2,112,109,119
"291","Mississippi",3,110,105,113
"292","Mississippi",4,107,102,110
"293","Mississippi",5,107,101,110
"294","Mississippi",6,113,108,118
"295","Mississippi",7,119,112,124
"296","Mississippi",8,121,117,125
"297","Mississippi",9,123,118,128
"298","Mississippi",10,116,113,119
"299","Mississippi",11,114,111,118
"300","Mississippi",12,118,114,123
"301","Missouri",1,200,196,202
"302","Missouri",2,207,202,212
"303","Missouri",3,206,201,212
"304","Missouri",4,202,201,210
"305","Missouri",5,204,202,209
"306","Missouri",6,216,206,223
"307","Missouri",7,216,214,221
"308","Missouri",8,218,214,224
"309","Missouri",9,220,217,225
"310","Missouri",10,208,204,211
"311","Missouri",11,198,197,205
"312","Missouri",12,207,201,213
"313","Montana",1,29,28,31
"314","Montana",2,31,29,32
"315","Montana",3,31,31,34
"316","Montana",4,33,30,34
"317","Montana",5,33,32,35
"318","Montana",6,34,32,35
"319","Montana",7,34,33,36
"320","Montana",8,33,31,34
"321","Montana",9,34,31,35
"322","Montana",10,31,28,33
"323","Montana",11,30,28,32
"324","Montana",12,30,29,33
"325","Nebraska",1,65,63,68
"326","Nebraska",2,69,67,71
"327","Nebraska",3,70,68,73
"328","Nebraska",4,70,66,72
"329","Nebraska",5,71,67,73
"330","Nebraska",6,73,69,75
"331","Nebraska",7,74,68,77
"332","Nebraska",8,73,70,76
"333","Nebraska",9,75,69,77
"334","Nebraska",10,69,66,72
"335","Nebraska",11,68,64,70
"336","Nebraska",12,70,66,71
"337","Nevada",1,91,78,96
"338","Nevada",2,91,83,96
"339","Nevada",3,93,82,97
"340","Nevada",4,92,81,97
"341","Nevada",5,95,84,97
"342","Nevada",6,95,86,99
"343","Nevada",7,97,85,104
"344","Nevada",8,101,89,105
"345","Nevada",9,101,89,106
"346","Nevada",10,97,84,100
"347","Nevada",11,95,83,99
"348","Nevada",12,93,82,100
"349","New Hampshire",1,36,33,37
"350","New Hampshire",2,38,35,39
"351","New Hampshire",3,39,35,40
"352","New Hampshire",4,39,36,41
"353","New Hampshire",5,40,36,41
"354","New Hampshire",6,41,39,42
"355","New Hampshire",7,41,38,42
"356","New Hampshire",8,40,38,42
"357","New Hampshire",9,39,38,41
"358","New Hampshire",10,38,35,39
"359","New Hampshire",11,35,33,37
"360","New Hampshire",12,35,33,36
"361","New Jersey",1,297,279,303
"362","New Jersey",2,304,283,308
"363","New Jersey",3,307,296,314
"364","New Jersey",4,304,292,311
"365","New Jersey",5,317,295,322
"366","New Jersey",6,319,303,324
"367","New Jersey",7,327,305,333
"368","New Jersey",8,323,307,329
"369","New Jersey",9,324,310,328
"370","New Jersey",10,308,290,313
